epoch,dsc,dsc_int,l1,loss,val_dsc,val_dsc_int,val_l1,val_loss
0,0.3386622216723234,0.2958993510198606,0.039975613942237524,0.261695615569825,0.2564404480262576,0.2050859139600096,0.022961572971309505,0.1785174199189674
1,0.25362265994260597,0.2088536721983981,0.024385751423000875,0.1810606034471087,0.20938566083682453,0.16910267016340122,0.0174923996828977,0.14609549612687106
2,0.22426968990670104,0.18306304825930644,0.02088230937625489,0.158198098723705,0.2123842949497908,0.1673766201953704,0.018386887999463686,0.1451091612944623
3,0.21027903720093488,0.1700757406641989,0.01937036785536479,0.14720902991531298,0.18315533915508792,0.14226070855704326,0.01506397287648187,0.12304414898121192
4,0.19909037339706517,0.16014232430771827,0.018170493213333545,0.13815816551950144,0.17589131702745872,0.13720245811147386,0.014492491106353948,0.11822939554095771
5,0.18798634582440038,0.15063282670875044,0.017125380916670225,0.12992573565426796,0.1694865141506293,0.13240360496919365,0.014052304676147273,0.113946181268955
6,0.1811909911796127,0.14433854030152168,0.016454162307011716,0.12428067143106869,0.1561345725515077,0.12439799785721797,0.012792477258461436,0.10630008217223515
7,0.1738618946137744,0.1376231749742001,0.015791666373227084,0.11818248520776753,0.150700368692244,0.12058698328469014,0.012407953124504588,0.10254265359900959
8,0.16745245702319092,0.13318663244431475,0.015165835894300787,0.1143056645498171,0.14892605113257407,0.11951376255231136,0.012282384410186156,0.10180469183335468
9,0.1622347500114331,0.12884800902115248,0.014737006370951697,0.11029154535945125,0.14699137021325454,0.11324489027297661,0.012235205943599083,0.09653763402075995
10,0.15897897790884785,0.1252524075763566,0.014459219072248734,0.10713771199675227,0.14032911769753842,0.10974709484378138,0.01157311951453029,0.09374707590759411
11,0.15625076167858565,0.12343902478438382,0.014221855847869409,0.10574160663636176,0.14200682228519804,0.11713864997864631,0.012025365986563197,0.09850588384757493
12,0.1530285500003965,0.121148758297534,0.013911476785617103,0.10338407803224003,0.13923425944617457,0.10878437832940983,0.011783268843284029,0.09302126448275887
13,0.15115005407742987,0.11925055755187985,0.013747027277880573,0.10177267624773695,0.13429469098306118,0.10393636716802555,0.01115534457391001,0.08922835800071449
14,0.14621647736504453,0.11534560319606371,0.013361814255865865,0.09830910042707097,0.1333371215309631,0.10468946775896425,0.01118349145386074,0.08879806233133229
15,0.14576724926082163,0.11538438646747357,0.013293764962088611,0.09836158072523507,0.1301391364545115,0.1026373863256143,0.010906558016774308,0.08715184704322568
16,0.14433820952649604,0.11407018179501774,0.01308427105054431,0.09716996392003016,0.13120019637528782,0.10015894542658739,0.01110935372745617,0.08565172859798216
17,0.14172410115867223,0.11120533799396638,0.01294716160307099,0.09479034160264085,0.12592108711160185,0.09951320591013858,0.010635278558761618,0.08471762829512412
18,0.14120880088236465,0.11174737009277487,0.012930378441892801,0.0950369997350916,0.12465516061057809,0.09876467256552487,0.010580181333361582,0.08375295707445105
19,0.1388818175918581,0.10965531492115058,0.012703977316554064,0.09318801386047706,0.12355042813483888,0.09784833640488894,0.010487823577562932,0.08313021895988222
20,0.13639160213106857,0.10762481954167401,0.012516807299731357,0.09147740339176867,0.12716905867895353,0.09755184257098751,0.010817702967424288,0.0829614364621221
21,0.13674977437136993,0.1076687448040246,0.012593887837444433,0.09145787787725797,0.12215120138318658,0.09926813940566444,0.01050674890781595,0.0837409312535367
22,0.13538842418220337,0.106773447769556,0.012463427283552769,0.09044222097171915,0.12264353676399889,0.09493716992101014,0.0103696750885638,0.08012867334504814
23,0.13302469226381664,0.10493082269582886,0.012291317306038595,0.08914914007613915,0.11972804189249289,0.09514374993269957,0.010303957235672123,0.08001500969913222
24,0.13314352394412396,0.10477405619570156,0.0122442958690276,0.08885009444229598,0.11829342226474812,0.0936294391508775,0.010086941112881507,0.07947925234358307
25,0.1316048827604422,0.10364246852665988,0.012120791598585345,0.08785704760960746,0.12019198417950999,0.09426738272829183,0.01020176971646732,0.07992199911652306
26,0.13162837607855454,0.10336315424584154,0.012069683377956759,0.08765234594505167,0.11819078894068205,0.09299279898045794,0.010128244118245162,0.07843330875263652
27,0.1303464559919551,0.10285127500815482,0.01207208576609928,0.08727642852454555,0.11571873365180042,0.09416049613767248,0.00985308744983367,0.07928786756871622
28,0.12968945510823232,0.10206541174204475,0.011862425483549545,0.08655926542163406,0.11869568712313251,0.09172501080883347,0.010169930207627843,0.07738115876293311
29,0.12815352565232246,0.10042733979353761,0.011835916279344608,0.08504890871871511,0.11471143999036498,0.09197198887899599,0.009949489041933855,0.07763608680693337
30,0.12766421514385284,0.10024771117686394,0.011777451511994663,0.08493923291132649,0.11642844492211409,0.09176900882258193,0.009951986814273669,0.07777467015692813
31,0.1272985013264237,0.09988643653357326,0.011730000037970523,0.0844665020125157,0.11593683132696324,0.09091548082284572,0.009834904300027616,0.07710228049302403
32,0.12575221075884813,0.0984544971534951,0.011652809725507706,0.08340061451372081,0.1140651166789355,0.09374761663157226,0.00984636031937768,0.07886875980388264
33,0.12648007905305916,0.09929690352276355,0.01170151079803929,0.08401230733848647,0.11177264954703914,0.08924458327244533,0.009548643456840457,0.07532115639459663
34,0.12484014899744741,0.09798616854635202,0.011581995270854744,0.08297181499288728,0.11199418099225465,0.08906659979267678,0.00962642640562536,0.07535890995728603
35,0.12435894437319982,0.09724504005985649,0.01149973722913132,0.08224836127251922,0.11310339918008692,0.0894651938950606,0.009655245688686068,0.07557807262984653
36,0.12355194643990536,0.09682586384950646,0.011465466722318839,0.08196379813854639,0.11014415227626734,0.08749517115790705,0.009481898647064434,0.07375515392695729
37,0.1235348601298593,0.09657764372509946,0.011416153984029006,0.08168720720968371,0.11573536148392485,0.08935149717287819,0.009932224088050357,0.07591650096307755
38,0.12302276411642181,0.09654138820543905,0.011400230152767598,0.08151784878303013,0.11459482304927023,0.08974669318850534,0.009830892362225983,0.07550847112701341
39,0.12240677277792941,0.09561730990761952,0.011338981876164252,0.08099509468808853,0.11105367178439807,0.087398467777435,0.009602707148276409,0.07408840736939003
40,0.12124038651222135,0.09510939050474808,0.011207087625180532,0.08038444120733453,0.11254743341134212,0.08821303491279114,0.009609187305907731,0.0748443462138725
