epoch,dsc,dsc_int,dsc_l2,l1,loss,val_dsc,val_dsc_int,val_dsc_l2,val_l1,val_loss
0,0.3318078300407188,0.2889582791538668,0.2548480121659964,0.03781526567800311,0.2580475541437257,0.26102039462259696,0.20911026928818607,0.18267465122785104,0.02367335114001581,0.18582663514874223
1,0.2558259876123928,0.21107209521575193,0.18314353361250535,0.024650393728605148,0.18631005277585103,0.22717892240694734,0.17738867565010455,0.1541986649315928,0.01972141218578837,0.15739113774157346
2,0.2264521548005794,0.1859686870384523,0.16115401707004523,0.021087751671156656,0.16437776225784514,0.19171621482942822,0.15469131143140535,0.13367404615379658,0.01578612316393076,0.13692608294248437
3,0.2090928129586225,0.17053233131794276,0.14757713142515858,0.019147240985369626,0.1508555908212391,0.18814293319845574,0.14902030050107842,0.12863336302308592,0.01552687366361123,0.13193373145864554
4,0.19769957820585093,0.16063980937115918,0.13849435350477007,0.017912761926055912,0.14182181028922292,0.17599538847974727,0.13759280182533482,0.11817224659676866,0.014330393164864931,0.12152413273878022
5,0.1895753690262513,0.1528669422244265,0.13159586726037595,0.01719378744841373,0.1349704346530433,0.17402588905269228,0.13308794420569542,0.11438610499939192,0.014344311943541563,0.11778547135173305
6,0.18417172754571318,0.14746560450893917,0.12669183543294915,0.0165646387362981,0.13012024181732956,0.1685267028821528,0.12732572578715587,0.10992480353679622,0.01369271281210682,0.11338425652674697
7,0.17566144947063442,0.13997943624674364,0.12033481323600806,0.015785044417607978,0.12382475131959386,0.15338021019196352,0.12241190308149211,0.10499990991956143,0.012562249671508383,0.10851901896284459
8,0.17269673240197564,0.13873760281587472,0.11907741040015342,0.015530891670301033,0.12262631664404566,0.15883778512585658,0.1249862482940813,0.10695627420655641,0.013200307655641657,0.11053117171082603
9,0.17052477386914128,0.13675982555805344,0.11737516164556006,0.015234132407418334,0.12097772786354322,0.1492714664262774,0.11720544690375158,0.10058963945053513,0.012139760187954483,0.10421875334328524
10,0.16469089412091725,0.13165639160154524,0.11308987775362711,0.014793420410673856,0.11674528888093981,0.14357398112201777,0.11364009846147821,0.09702209838637392,0.01171437801872933,0.10070163241490461
11,0.16210600444001125,0.12990598636972653,0.11138502486635232,0.014572258859711066,0.11508957503792333,0.14242517059829451,0.11435956040407391,0.09818842560681612,0.011625440760934977,0.10191203884650167
12,0.15780840775372995,0.12610732931948257,0.1079680340814386,0.014204151749698767,0.1117183369195228,0.14296339974121705,0.11633521874422334,0.09832492535411773,0.011819260206125169,0.10209903652729796
13,0.15685792072421262,0.12488661635356561,0.10678497627397479,0.014187810624767663,0.11058439361093766,0.13912225432015815,0.10889589316321109,0.093433905588244,0.011445892511037834,0.09725451026608098
14,0.1543569840396962,0.12335755841377688,0.10530025960991862,0.013916022886620213,0.10914563085894839,0.1389811534059558,0.10994855968832898,0.0932325375563341,0.011380326769675672,0.09709963394691601
15,0.15096799514067458,0.12004519386366269,0.10292486629179994,0.013679829146538286,0.10681264423566796,0.1340610425449984,0.10701487314420842,0.0907818565325898,0.011197910041757705,0.09468920773648583
16,0.14931818764607857,0.11890166090500319,0.10171048695441706,0.013508888349661923,0.10563861699917143,0.13765024100534165,0.10849135885079127,0.09200642626191421,0.011358250934022101,0.09595232331623436
17,0.14780432631665277,0.11710698935356768,0.09966148840849089,0.013408142916061417,0.10363283546911554,0.1326997975463462,0.10410339484073226,0.08876155922891074,0.011026420167940901,0.09275352375973701
18,0.1463231165086862,0.11627143205482242,0.09911999505994723,0.013281382828765167,0.1031318151780697,0.13261824072018094,0.10607744903360382,0.08962531994091882,0.011027762879667474,0.09365866450461513
19,0.14454023882694775,0.11420051497113957,0.09747079012781198,0.013125408455306133,0.10152674707002723,0.12613546736021944,0.10156590076564234,0.08578511450558703,0.010526158210875903,0.08986519687124733
20,0.1432954241893337,0.11382955707523786,0.09700448247318261,0.01308075798896579,0.10110389966846184,0.13337351395251737,0.1065654425178399,0.08984794311400564,0.011404970620948016,0.09396647833031728
21,0.14053087875834103,0.11103361014289723,0.09471155268933172,0.012774274506511557,0.09885544560528159,0.12676473417290726,0.0988584049966696,0.0841280153855421,0.010622740032138991,0.08829128192069662
22,0.14043146276986812,0.11124162078582707,0.09488333934427298,0.012771751880655737,0.09906615968868515,0.12589815170057858,0.10150422001366445,0.08623163884190137,0.01044496441862898,0.09043205729076631
23,0.13824808090741497,0.10915764537246768,0.09295611579547265,0.012589225523059983,0.09717891524445751,0.12302364730975081,0.0990311778798888,0.08387808141990769,0.01037830079952283,0.08812397103610708
24,0.13812494213652657,0.10936423844209275,0.09327141091894509,0.012581987636220244,0.09753890888312648,0.12231278014854899,0.09762927680767539,0.08288863715572556,0.01022434659187714,0.08717674781771005
25,0.13627683193178478,0.10764011538793944,0.09175192793874663,0.01249009159427806,0.09605942993529422,0.12380072685557005,0.09914416155590934,0.08380801483961815,0.010496754893127014,0.08813148613001942
26,0.13479528382632217,0.10644990379298798,0.09056913846501138,0.0123182652911051,0.09491078661821126,0.12307034055643444,0.09513198074588868,0.08074880954082506,0.010432268606836785,0.08510996944721813
27,0.1359331023414312,0.1077974203447815,0.09169243996814633,0.012405150752695323,0.09606998623080434,0.12266162707009468,0.09597520181272604,0.08120444478077513,0.010380750263784577,0.08560581957093917
28,0.13538771880931874,0.10668885040877492,0.09072258053644514,0.012318266889904643,0.09513937873819245,0.12012536446954056,0.09612554872005441,0.08160173901732318,0.010112026109033998,0.0860363157031549
29,0.13347887407555972,0.10517167931418098,0.08948616666209598,0.012242762929543002,0.09393561697739501,0.11771141670783504,0.09340529082283476,0.07863664935607376,0.009850630269460538,0.08310097957174774
30,0.133341352796545,0.10538025821415102,0.08924045637289886,0.01216592213113477,0.09372077659231765,0.12280043016057046,0.09433366453938631,0.08023064912955326,0.010428717065178141,0.08472726401783674
31,0.13289372305852803,0.10497270986793253,0.08904681629140586,0.01216919108784948,0.09356349166477694,0.12359839914935838,0.09453625461022634,0.0796314920464361,0.010564305536637578,0.0841654061534593
32,0.13161331372042503,0.1037164473563185,0.08825212700881066,0.011995908971980745,0.09279977437583029,0.11600510843857144,0.0911062395513381,0.07701421533545649,0.009832984358049825,0.08157908862581305
33,0.13042018944769498,0.10259614803777627,0.08727042795753262,0.011939350391544165,0.09184988281364832,0.11886529244073836,0.09160579441001862,0.07763753978242495,0.010010225111152696,0.08222829988377867
34,0.1299503756389002,0.10241496781822312,0.08700751304961951,0.011856229828295695,0.09161418464301387,0.11983737357144905,0.09309582917481175,0.07855286443804746,0.010219509380455833,0.08317277880498916
35,0.12954913921248845,0.10211548448024312,0.08675960491902385,0.011787589305187559,0.09139377537728378,0.11896681490075237,0.09126736878037381,0.07713685974236208,0.010091341562084112,0.08178238620091231
36,0.1285412937215013,0.10086536381310798,0.08567093813972095,0.011729862008775984,0.0903301869207782,0.11644141587095853,0.09145752921242395,0.07798214210730636,0.009759790933791451,0.08265929895937622
37,0.1286956626583411,0.10140755389677523,0.08628135896905662,0.011705268088291858,0.09097309636625583,0.11549783545204356,0.09180187257461479,0.07738346886507282,0.009682843981747475,0.08208687138429889
38,0.12831654264240921,0.10124427155039643,0.08621124953782389,0.011763369275396278,0.09092614298306467,0.1159375131471535,0.0900725854483263,0.07651038963691235,0.009843028013523153,0.08123287130113536
39,0.12798568014483833,0.10043366298107448,0.08522407289996795,0.011740653866243502,0.0899623049564382,0.11541718315510523,0.09173826867913251,0.0780804597330855,0.009747565807600637,0.08282646916766279
40,0.12675124168579716,0.09968760698889957,0.08456079527052757,0.01159881165710931,0.08931668640916388,0.11474844090743838,0.09139762016270375,0.07718250990551663,0.009828627528875365,0.08194509803835637
41,0.12629541265073074,0.09935036005067366,0.08421586817357599,0.011496852242660663,0.08899562453431248,0.11061192809583338,0.08821321081206193,0.07467737867125838,0.009352252812468912,0.07946881559812714
42,0.125864609800373,0.09878331216122567,0.08382243789279151,0.011572550732869065,0.08862276841179674,0.11528720243229357,0.09176439618115831,0.07756113282316704,0.009804479326466756,0.08237212676063153
